"channel","video_id","title","publish_date","view_count","like_count","comment_count","subscribers","thumbnail_high_url","description","dwh_create_timestamp","dwh_created_by","dwh_updated_by","dwh_update_timestamp"
"TamilMurasu","sXuDUCR8kkY","கடந்த 59 ஆண்டுகள் நிகழ்ந்த கொண்டாட்டங்களில் எடுக்கப்பட்ட புகைப்படங்களின் காணொளித் தொகுப்பு","2024-08-10 06:22:05","7","0","0","4860","https://i.ytimg.com/vi/sXuDUCR8kkY/hqdefault.jpg","#Singapore #NDP2024 #Celebrations #Padang","2024-08-11 14:42:40","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:40"
"TamilMurasu","2UN8Z0tzIIo","அணிவகுப்பில் தேசிய கீத அங்கத்தை வழிநடத்திய ஷபீர்; கண்கலங்கிய அதிபர் தர்மன்","2024-08-10 05:27:20","6","0","0","4860","https://i.ytimg.com/vi/2UN8Z0tzIIo/hqdefault.jpg","காணொளி: NDPeeps
#shabir #national #anthem #NDP2024 #celebration","2024-08-11 14:42:40","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:40"
"TamilMurasu","ePV0jQHwwSo","என்டியுசியின் தேசிய தினக் கொண்டாட்டம்","2024-08-10 04:42:57","10","0","0","4860","https://i.ytimg.com/vi/ePV0jQHwwSo/hqdefault.jpg","#ntuc #singapore #NDP2024 #people #home #love","2024-08-11 14:42:40","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:40"
"TamilMurasu","Nn0mRoA5aqI","தேசிய தினம் 2024: பார்வையாளர்களின் கருத்துகளும் முக்கிய காட்சிகளும்","2024-08-09 15:51:30","6","0","0","4860","https://i.ytimg.com/vi/Nn0mRoA5aqI/hqdefault.jpg","தேசிய தினம் 2024: பார்வையாளர்களின் கருத்துகளும் முக்கிய காட்சிகளும்

#NDP2024 #Singapore #59thbirthday #celebration #voices","2024-08-11 14:42:40","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:40"
"TamilMurasu","I_yox6oUa3o","தேசிய தின அணிவகுப்பு 2024: சிறப்பு அம்சங்கள்","2024-08-09 15:14:26","1","0","0","4860","https://i.ytimg.com/vi/I_yox6oUa3o/hqdefault.jpg","#Singapore #NDPSong #NDPDance #NDPperformance #Padang #NDP2024","2024-08-11 14:42:40","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:40"
"TamilMurasu","OBd695lykhw","என்டியுசியின் தேசிய தினக் கொண்டாட்டத்தில் படைத்த 'ஹிப் ஹாப்' கலை­ஞர் யங் ராஜா","2024-08-09 14:47:09","26","0","0","4860","https://i.ytimg.com/vi/OBd695lykhw/hqdefault.jpg","#NDP2024 #NTUC #yungraja #performance","2024-08-11 14:42:40","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:40"
"TamilMurasu","-Adf19-cjOE","தேசிய தினம் 2024: வாண வேடிக்கை அங்கம்!","2024-08-09 13:06:43","1","0","0","4860","https://i.ytimg.com/vi/-Adf19-cjOE/hqdefault.jpg","#fireworks #colourful #NDP2024 #celebrations #Padang

காணொளி: NDPeeps","2024-08-11 14:42:40","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:40"
"TamilMurasu","5ku5xnlZvn4","வானில் வட்டமடித்து வந்திறங்கிய செஞ்சிங்கங்கள்","2024-08-09 12:45:21","6","0","0","4860","https://i.ytimg.com/vi/5ku5xnlZvn4/hqdefault.jpg","காணொளி: NDPeeps
#red #lions #NDP #2024 #celebration","2024-08-11 14:42:40","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:40"
"TamilMurasu","s_Y3C-ILcNc","லாரன்ஸ் வோங் பிரதமராகவும் தர்மன் சண்முகரத்னம் அதிபராகவும் கலந்துகொள்ளும் முதல் தேசிய தின அணிவகுப்பு","2024-08-09 12:42:05","9","1","0","4860","https://i.ytimg.com/vi/s_Y3C-ILcNc/hqdefault.jpg","காணொளி: NDPeeps
#ndp2024 #PrimeMinister #LawrenceWong #President #TharmanShanmugaratnam","2024-08-11 14:42:40","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:40"
"TamilMurasu","hkseWauEHdI","அணிவகுப்பில் தேசிய கீத அங்கத்தை வழிநடத்திய ஷபீர்","2024-08-09 12:39:34","1","0","0","4860","https://i.ytimg.com/vi/hkseWauEHdI/hqdefault.jpg","அணிவகுப்பில் தேசிய கீத அங்கத்தை வழிநடத்திய ஷபீர்

காணொளி: NDPeeps","2024-08-11 14:42:40","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:40"
"TamilMurasu","GLbgnac4zIk","தேசிய தினத்திற்காக விளையாட்டில் இணைந்த சிறுவர்கள்","2024-08-09 00:22:18","27","1","0","4860","https://i.ytimg.com/vi/GLbgnac4zIk/hqdefault.jpg","#nationalday #singapore #sports #indian #home #love","2024-08-11 14:42:40","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:40"
