"channel","video_id","title","publish_date","view_count","like_count","comment_count","subscribers","thumbnail_high_url","description","dwh_create_timestamp","dwh_created_by","dwh_updated_by","dwh_update_timestamp"
"BeritaHarianSingapura","rj3o09wJqjk","Laporan Khas Berita Harian Singapura: Bina asas masa depan","2024-08-11 01:45:27","17","0","0","5010","https://i.ytimg.com/vi/rj3o09wJqjk/hqdefault.jpg","Impiannya apabila mula bekerja di Singapura pada usia 23 tahun sama seperti para pembantu rumah lain, iaitu untuk mencari rezeki bagi kehidupan lebih baik apabila pulang ke negara asal kelak. Setelah tujuh tahun berjauhan dengan keluarga, impian Cik Dewi Yunita, hampir menjadi kenyataan dengan sokongan dari majikannya, selebriti tempatan Nurul Aini. 

Menurut Kedutaan Indonesia di Singapura, sekitar 166,800 warga Indonesia yang menetap di sini merupakan pembantu rumah. 

Ikuti kisah mereka. 
Baca: https://www.beritaharian.sg/","2024-08-11 14:42:42","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:42"
"BeritaHarianSingapura","9UIszk9xGS0","Menetapkan Laluan Bagi Era Baru Aktivisme dan Kesukarelawanan.","2024-08-08 11:05:47","26","1","0","5010","https://i.ytimg.com/vi/9UIszk9xGS0/hqdefault.jpg","Dalam siri kedua daripada siri tiga Dialog Masyarakat yang Berita Harian adakan, para peserta dan anggota panel membincangkan topik yang mengetengahkan isu berkenaan aktivisme, kesedaran sivik serta cara memupuk bakat belia demi masa depan bersama.

Baca laporan penuh di sini: https://www.beritaharian.sg/singapura/dialog-bh-beri-ruang-belia-kupas-isu-semasa-teroka-peluang-sumbang-bakti","2024-08-11 14:42:42","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:42"
"BeritaHarianSingapura","nznYWPNiEV8","Dialog Masyarakat BH #2: Belia & Kesedaran Sivik","2024-08-07 11:59:05","26","0","0","5010","https://i.ytimg.com/vi/nznYWPNiEV8/hqdefault.jpg","Tingkat kesedaran belia tentang isu nasional dan isu masyarakat - bolehkah belia usaha sendiri tingkat kesedaran mereka atau perlukah lebih banyak usaha untuk tingkatkan kesedaran belia?
Ikuti perbincangan tentang era baru aktivisme dalam kalangan belia bersama belia dalam Dialog Masyarakat Berita Harian (BH) yang berlangsung pada 31 Julai 2024.

Baca: https://bit.ly/3WUDWuk","2024-08-11 14:42:42","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:42"
"BeritaHarianSingapura","7-yuhy8edh0","Dialog Masyarakat BH #2: Belia & Aktivisme","2024-08-07 11:43:32","16","0","0","5010","https://i.ytimg.com/vi/7-yuhy8edh0/hqdefault.jpg","Cukupkah peluang bagi belia meluahkan pandangan mereka dengan tujuan mencetus perubahan positif? Namun dalam beraktivisme pun, perlu ada tata tertibnya.
Ikuti perbincangan tentang era baru aktivisme dalam kalangan belia bersama belia dalam Dialog Masyarakat Berita Harian (BH) yang berlangsung pada 31 Julai 2024.

Baca: https://bit.ly/3WA4P5A","2024-08-11 14:42:42","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:42"
"BeritaHarianSingapura","_k0kUs8S614","Gempa bumi Sabah 2015: Masjid Ba'alwie urus jenazah dua mangsa korban","2024-08-04 22:00:31","71","0","0","5010","https://i.ytimg.com/vi/_k0kUs8S614/hqdefault.jpg","Syed Ahmed Al-Attas masih sebak kenang detik Masjid Ba'alwie bantu uruskan jenazah dua mangsa korban gempa bumi Gunung Kinabalu di Sabah pada 2015.
#sgnews #beritasingapura #laporankhasBH #sabahquake #sabahearthquake #sabahquake2015 #gempasabah","2024-08-11 14:42:42","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:42"
"BeritaHarianSingapura","SLXU71lpVIA","Gempa bumi Sabah 2015: 9 tahun kemudian...","2024-08-04 01:30:11","548","6","0","5010","https://i.ytimg.com/vi/SLXU71lpVIA/hqdefault.jpg","Sembilan tahun sudah berlalu, namun tragedi gempa bumi di Gunung Kinabalu, Sabah pada 2015 yang meragut nayawa 10 warga Singapura masih jelas di ingatan dua bekas murid Sekolah Rendah Tanjong Katong (TKPS) ini...
#sgnews #beritasingapura #laporankhasBH #sabahquake #sabahearthquake #sabahquake2015 #gempasabah","2024-08-11 14:42:42","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:42"
"BeritaHarianSingapura","fjjvIGqGXYw","Laporan Khas Berita Harian Singapura: Akan kukembali ke Kinabalu...","2024-08-03 21:30:06","372","9","0","5010","https://i.ytimg.com/vi/fjjvIGqGXYw/hqdefault.jpg","9 tahun berlalu namun tragedi gempa masih segar di ingatan...

Sembilan tahun lalu, rancangan Encik Emyr Uzayr Mohamed Sadri dan Encik El Wafeeq El-Jauzy mendaki ke puncak Gunung Kinabalu di Sabah, Malaysia, tidak kesampaian disebabkan gempa bumi yang menyebabkan tanah runtuh dan batu bata jatuh menghempap pendaki. 
Menjelang ulang tahun ke-10 kejadian tersebut pada 2025, dua bekas murid Sekolah Rendah Tanjong Katong (TKPS) itu merancang mendaki gunung itu sekali lagi dengan harapan dapat sampai ke puncaknya.

Sejumlah 18 kematian, termasuk 10 warga Singapura, dilaporkan ekoran gempa bumi itu, dengan semuanya berlaku di Gunung Kinabalu.

Baca laporan di sini:

‘Akan Kukembali ke Kinabalu’
- https://www.beritaharian.sg/singapura/akan-kukembali-kinabalu

Mangsa gempa Kinabalu singkap kejadian, hargai peluang hidup
- https://www.beritaharian.sg/singapura/mangsa-gempa-kinabalu-singkap-kejadian-hargai-peluang-hidup

‘Masih sebak bila baca semula buku ucapan takziah’
- https://www.beritaharian.sg/singapura/masih-sebak-bila-baca-semula-buku-ucapan-takziah

Kesan tragedi gempa kepada S’pura
- https://www.beritaharian.sg/singapura/kesan-tragedi-gempa-kepada-spura

Dapatkan berita terkini dan ikuti kami di - 
 
Laman Web: www.beritaharian.sg 
 
Facebook:   https://www.facebook.com/BeritaHarianSG 
 
Instagram:   https://www.instagram.com/beritahariansg/ 
 
Tiktok:   https://www.tiktok.com/@beritahariansg","2024-08-11 14:42:42","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:42"
"BeritaHarianSingapura","pzJRR3e-WvM","Boleh ke kenal tanda penyalahgunaan dadah?","2024-08-02 11:21:42","199","7","0","5010","https://i.ytimg.com/vi/pzJRR3e-WvM/hqdefault.jpg","Macam mana ibu bapa nak kenal pasti tanda anak-anak mereka sudah ketagih?
Dalam episod NoTapis kali ini, pekerja sosial daripada Khidmat Belia Alkin, Cik Farah Dina Nordin, serta Pegawai Biro Narkotik Pusat (CNB), Encik Taufiq Abdul Azim, berbincang tentang tanda-tanda salah guna dadah dan cara untuk mempertingkat sokongan bagi belia.

Baca di sini: https://bit.ly/4c65VeR","2024-08-11 14:42:42","dwh_admin_user","dwh_admin_user","2024-08-11 14:42:42"
